| RU | GE | TGE | EN | TEN | Content |
| В этой компании созданы все условия для продуктивной работы молодого специалиста | ამ კომპანიაში ყველა პირობაა შექმნილი, რომ ახალგაზრდა სპეციალისტმა ნაყოფიერად იმუშაოს | am k'omp'aniashi q'vela p'irobaa shekmnili, rom akhalgazrda sp'etsialist'ma naq'opierad imushaos | This company has created all the conditions for the productive work of a young specialist | - | Беседа Расскажите о своем опыте |
| Что хотите? | რა გინდათ? | ra gindat? | What do you want? | - | Беседа Магазин |
| Дайте полкило сливочного масла | ნახევარი კილო კარაქი მომეცი | nakhevari k'ilo k'araki mometsi | Give me half a kilo of butter | - | Беседа Магазин |
| Иракли, иди домой! | ირაკლი, წადი სახლში! | irak'li, ts'adi sakhlshi! | Irakli, go home! | - | Беседа Семья |
| Что хочешь, папа? | რა გინდა, მამა? | ra ginda, mama? | What do you want, dad? | - | Беседа Семья |
| Иди, мой руки и садись! | მოდი, ჩემი ხელები და დაჯექი! | modi, chemi khelebi da dajeki! | Go, wash your hands and sit down! | - | Беседа Семья |
| Будем обедать | სადილად | sadilad | We'll have lunch | - | Беседа Семья |
| Будем завтракать | დილაობით | dilaobit | We'll have breakfast | - | Беседа Семья |
| Да, сейчас приду | დიახ, ახლავე მოვალ | diakh, akhlave moval | Yes, I'll come now | - | Беседа Семья |
| Мы живем в квартире | ჩვენ ბინაში ვცხოვრობთ | chven binashi vtskhovrobt | We live in an apartment | - | Беседа Как начинается день |
| В каждой комнате по одному человеку | თითოეულ ოთახში ერთი ადამიანი | titoeul otakhshi erti adamiani | One person in each room | - | Беседа Как начинается день |
| Спим обычно с десяти часов до шести часов утра | ჩვეულებრივ, 10 საათიდან დილის 6 საათამდე ვძინავთ | chveulebriv, 10 saatidan dilis 6 saatamde vdzinavt | We usually sleep from ten o'clock to six o'clock in the morning | - | Беседа Как начинается день |
| Потом встаем, завтракаем, умываемся и идем на работу | მერე ავდგებით, ვივახშმებთ, დავიბანთ და სამსახურში წავალთ | mere avdgebit, vivakhshmebt, davibant da samsakhurshi ts'avalt | Then we get up, have breakfast, wash up and go to work | - | Беседа Как начинается день |
| На улице, в автобусах везде наши товарищи | ქუჩაში, ავტობუსებში, ყველგან ჩვენი მეგობრები არიან | kuchashi, avt'obusebshi, q'velgan chveni megobrebi arian | On the street, on the buses our comrades are everywhere | - | Беседа Как начинается день |
| В это время весь город наш | ამ დროს მთელი ქალაქი ჩვენია | At this time, the whole city is ours | am dros mteli kalaki chvenia | - | Беседа Как начинается день |
| В это время бессмысленно спросить у человека, куда он спешит | ამ დროს აზრი არ აქვს, ჰკითხო ადამიანს, სად არის ჩქარა | am dros azri ar akvs, hk'itkho adamians, sad aris chkara | At this time, it is pointless to ask a person where he is rushing to | - | Беседа Как начинается день |
| У всех дорога одна на работу | ყველა სამსახურში მიდის | q'vela samsakhurshi midis | Everyone has one road to work | - | Беседа Как начинается день |
| Я специалист в области информационных технологий с более 5 лет опыта в администрировании баз данных, локальных, виртуальных и облачных серверов и в разработке программного обеспечения | მე IT სპეციალისტი ვარ, რომელსაც 5 წელზე მეტი გამოცდილება აქვს მონაცემთა ბაზების ადმინისტრირებაში, ადგილობრივ, ვირტუალურ და ღრუბლოვან სერვერებში და პროგრამული უზრუნველყოფის შექმნაში | me IT sp’etsialist’i var, romelsats 5 ts’elze met’i gamotsdileba akvs monatsemta bazebis administ’rirebashi, adgilobriv, virt’ualur da ghrublovan serverebshi da p’rogramuli uzrunvelq’opis shekmnashi | I am an IT specialist with over 5 years of experience in database administration, local, virtual and cloud servers and software development | - | Беседа Расскажите о своей карьере |
| Для саморазвития я в свободное время читаю и перевожу техническую документацию на английском языке, администрирую свой веб-сервер, дорабатываю свои проекты и решаю задачи на фрилансе | საკუთარი თავის განვითარების მიზნით, თავისუფალ დროს ვკითხულობ და ვთარგმნი ტექნიკურ დოკუმენტაციას ინგლისურ ენაზე, ვმართავ საკუთარ ვებ-სერვერს, ვამუშავებ საკუთარ პროექტებს და ვმუშაობ დამოუკიდებლად | sak’utari tavis ganvitarebis miznit, tavisupal dros vk’itkhulob da vtargmni t’eknik’ur dok’ument’atsias inglisur enaze, vmartav sak’utar veb-servers, vamushaveb sak’utar p’roekt’ebs da vmushaob damouk’ideblad | For self-development, in my free time I read and translate technical documentation in English, administer my web server, finalize my projects and solve problems on a freelance basis | - | Беседа Расскажите о своей карьере |
| Мне интересно работать в команде, активно развиваться в программировании и администрировании, изучать новые технологии | საინტერესოა გუნდში მუშაობა, პროგრამირებისა და ადმინისტრირების სფეროში აქტიური განვითარება, ახალი ტექნოლოგიების შესწავლა | saint’eresoa gundshi mushaoba, p’rogramirebisa da administ’rirebis speroshi akt’iuri ganvitareba, akhali t’eknologiebis shests’avla | I am interested in working in a team, actively developing in programming and administration, learning new technologies | - | Беседа Расскажите о своей карьере |
| Я вас каждый день это время встречаю | ყოველ დღე გხედავ ამ დროს | q'ovel dghe gkhedav am dros | I meet you at this time every day | - | Беседа Знакомства |
| Куда идете? | სად მიდიხართ? | sad midikhart? | Where are you going? | - | Беседа Знакомства |
| Я каждый день хожу в это время, потому что моя работа каждый день в 9 часов начинается. | მე ყოველდღე ამ დროს დავდივარ, რადგან ჩემი სამუშაო ყოველდღე 9 საათზე იწყება. | me q'oveldghe am dros davdivar, radgan chemi samushao q'oveldghe 9 saatze its'q'eba. | I go at this time every day because my work starts at 9 o'clock every day. | - | Беседа Знакомства |
| А вы куда идете в это время? | სად მიდიხართ ამ დროს? | sad midikhart am dros? | And where are you going at this time? | - | Беседа Знакомства |
| И у нас учеба начинается в девять часов | და სკოლა ცხრა საათზე იწყება | da sk'ola tskhra saatze its'q'eba | And our classes start at 9 o'clock | - | Беседа Знакомства |
| Поэтому и встречаемся тут в это время | ამიტომაც ვხვდებით აქ ამ დროს | amit'omats vkhvdebit ak am dros | That's why we meet here at this time | - | Беседа Знакомства |
| Выходит, что у нас одна дорога | როგორც ჩანს, ჩვენ ერთი გზა გვაქვს | rogorts chans, chven erti gza gvakvs | It turns out that we have the same road | - | Беседа Знакомства |
| Не знаю | არ ვიცი | ar vitsi | I don't know | - | Беседа Знакомства |
| Где ваш институт? | სად არის თქვენი ინსტიტუტი? | sad aris tkveni inst'it'ut'i? | Where is your institute? | - | Беседа Знакомства |
| Наш институт на улице Гагарина. | ჩვენი ინსტიტუტი გაგარინის ქუჩაზეა. | chveni inst'it'ut'i gagarinis kuchazea. | Our institute is on Gagarin Street. | - | Беседа Знакомства |
| Вы где работаете? | სად მუშაობთ? | sad mushaobt? | Where do you work? | - | Беседа Знакомства |
| Моя работа чуть дальше первой больницы. | ჩემი სამსახური პირველი საავადმყოფოსთან ახლოსაა. | chemi samsakhuri p'irveli saavadmq'opostan akhlosaa. | My work is a little further than the first hospital. | - | Беседа Знакомства |
| Значит, если разрешите, вместе пойдем. | მაშ, თუ ნება მომეცით, ერთად წავიდეთ. | mash, tu neba mometsit, ertad ts'avidet. | So, if you allow me, we'll go together. | - | Беседа Знакомства |
| Пойдем, дорога общая. | მოდი, საერთო გზაა. | modi, saerto gzaa. | Let's go, we have the same road. | - | Беседа Знакомства |
| Я не понимаю этого слова, пожалуйста, объясните. | მე ვერ გავიგე ეს სიტყვა, გთხოვთ ამიხსნათ. | me ver gavige es sit'q'va, gtkhovt amikhsnat. | I don't understand this word, please explain. | - | Беседа Работа. Вас не слышно |
| Телефон работает плохо. | ტელეფონი ცუდად მუშაობს. | t'eleponi tsudad mushaobs. | The phone is not working well. | - | Беседа Работа. Вас не слышно |
| Разговора не слышно. | ლაპარაკი არ ისმის. | lap'arak'i ar ismis. | I can't hear the conversation. | - | Беседа Работа. Вас не слышно |
| Извините, но я, наверное, плохо говорю, и вы меня не поймете. | ბოდიში, მაგრამ მე ალბათ კარგად ვერ ვლაპარაკობ და თქვენ ვერ გაიგეთ. | bodishi, magram me albat k'argad ver vlap'arak'ob da tkven ver gaiget. | I'm sorry, but I probably don't speak well and you won't understand me. | - | Беседа Работа. Вас не слышно |
| Я повторю. | მე გავიმეორებ. | me gavimeoreb. | I'll repeat it. | - | Беседа Работа. Вас не слышно |
| Я не понимаю, почему вы смеетесь? | არ მესმის, რატომ იცინით? | ar mesmis, rat'om itsinit? | I don't understand why you're laughing? | - | Беседа Работа. Вас не слышно |
| Он плохо понял, что было сказано. | მან კარგად ვერ გაიგო ნათქვამი. | man k'argad ver gaigo natkvami. | He didn't understand what was said. | - | Беседа Работа. Вас не слышно |
| Я проголодался | მშია | mshia | I'm hungry | - | Беседа Знакомства |
| Вы не хотите есть? | არ გინდათ ჭამა? | ar gindat ch'ama? | Do you want to eat? | - | Беседа Знакомства |
| Не перекусить ли немножко? | ოდნავ საჭმელს არ მიირთმევ? | odnav sach'mels ar miirtmev? | Would you like a little snack? | - | Беседа Знакомства |
| Что будете кушать? | რას მიირთმევთ? | ras miirtmevt? | What would you like to eat? | - | Беседа Знакомства |
| То что быстро приготовится. | რაც მალე მოვა. | rats male mova. | Anything that cooks quickly. | - | Беседа Знакомства |
| Пойдем через час. | ერთ საათში წავალთ. | ert saatshi ts'avalt. | Let's go in an hour. | - | Беседа Знакомства |
| Вы все готовы? | მზად ხართ? | mzad khart? | Are you all ready? | - | Беседа Знакомства |
| Так быстро? | ასე მალე? | ase male? | So soon? | - | Беседа Знакомства |
| Сколько стоит эта обувь? | რამდენი ღირს ეს ფეხსაცმელი? | ramdeni ghirs es pekhsatsmeli? | How much do these shoes cost? | - | Беседа Магазин |
| Эта обувь стоит 36 рублей. | ეს ფეხსაცმელი 36 რუბლი ღირს. | es pekhsatsmeli 36 rubli ghirs. | These shoes cost 36 rubles. | - | Беседа Магазин |
| Давно ожидаете меня? | დიდი ხანია ელით? | didi khania elit? | Have you been waiting for me for a long time? | - | Беседа Знакомства |
| Минут 30. | 30 წუთი. | 30 ts'uti. | About 30 minutes. | - | Беседа Знакомства |
| Другие товарищи где? | სად არიან დანარჩენი თანამებრძოლები? | sad arian danarcheni tanamebrdzolebi? | Where are the other comrades? | - | Беседа Знакомства |
| Видимо, и они скоро придут. | როგორც ჩანს, ისინიც მალე ჩამოვლენ. | rogorts chans, isinits male chamovlen. | They'll probably be here soon. | - | Беседа Знакомства |
| Вы знаете, что со мной произошло по пути? | იცი რა დამემართა გზაზე? | itsi ra damemarta gzaze? | Do you know what happened to me on the way? | - | Беседа Знакомства |
| Да, мы знаем, что с вами случилось по пути. | დიახ, ვიცით რა დაგემართათ. | diakh, vitsit ra dagemartat. | Yes, we know what happened to you on the way. | - | Беседа Знакомства |
| И хорошо, что все закончилось. | და კარგია, რომ ეს ყველაფერი დასრულდა. | da k'argia, rom es q'velaperi dasrulda. | And it's good that it's all over. | - | Беседа Знакомства |
| Сколько людей сегодня на работе? | დღეს რამდენი კაცი გავა სამუშაოზე. | dghes ramdeni k'atsi gava samushaoze. | How many people are at work today? | - | Беседа Работа |
| Столько же, сколько вчера. | იმდენი, რამდენიც გუშინ. | imdeni, ramdenits gushin. | The same as yesterday. | - | Беседа Работа |
| Что говорит радио? | რას ამბობს რადიო? | ras ambobs radio? | What's the radio saying? | - | Беседа Знакомства |
| Какая погода завтра? | როგორი ამინდი იქნება ხვალ? | rogori amindi ikneba khval? | What's the weather like tomorrow? | - | Беседа Знакомства |
| Такой же, как сегодня, сухой | ისეთივე, როგორიც დღეს, მშრალი | isetive, rogorits dghes, mshrali | The same as today, dry | - | Беседа Знакомства |
| Пока не работал, Давид часто ходил ко мне. | სანამ მუშაობდა, დევიდი ხშირად მოდიოდა ჩემთან. | sanam mushaobda, devidi khshirad modioda chemtan. | While he wasn't working, David often came to see me. | - | Беседа Работа |
| А теперь много работы и времени у него почти совсем нет. | ახლა კი ბევრი საქმე აქვს და დროც თითქმის არ აქვს. | akhla k'i bevri sakme akvs da drots titkmis ar akvs. | But now he has a lot of work and almost no time. | - | Беседа Работа |
| Разве тебе не сказали, что сегодня собрание? | არ გითხრეს, რომ დღეს შეხვედრა იყო? | ar gitkhres, rom dghes shekhvedra iq'o? | Didn't they tell you there was a meeting today? | - | Беседа Работа |
| Как же, сказали, и вот я пришел. | რა თქმა უნდა, მითხრეს და აქ ვარ. | ra tkma unda, mitkhres da ak var. | Of course they did, and so I came. | - | Беседа Работа |
| не опоздал? | არ დაგვიანებულხარ? | ar dagvianebulkhar? | Not late? | - | Беседа Работа |
| нет, ты точно пришел, теперь начинаем. | არა, ნამდვილად მოდიხარ, ახლა დავიწყოთ. | არა, ნამდვილად მოდიხარ, ახლა დავიწყოთ. | No, you definitely came, now let's begin. | - | Беседа Работа |
| Какую школу вы окончили? | რომელი სკოლა დაამთავრეთ? | romeli sk'ola daamtavret? | What school did you graduate from? | - | Беседа Знакомства |
| сороковую | მეორმოცე | meormotse | fortieth | - | Беседа Знакомства |
| Где вы сейчас учитесь? | ახლა სად სწავლობთ? | akhla sad sts'avlobt? | Where are you studying now? | - | Беседа Знакомства |
| Университет | უნივერსიტეტი | universit'et'i | University | - | Беседа Знакомства |
| На каком курсе? | რომელ კურსზე? | romel k'ursze? | What year are you in? | - | Беседа Знакомства |
| Я закончил вторую и перешел в третью | მეორე დავამთავრე და გადავედი მესამეზე | meore davamtavre da gadavedi mesameze | I graduated from the second and transferred to the third | - | Беседа Знакомства |
| У меня есть сестра и брат | მე მყავს და  და ძმა | me mq'avs da da dzma | I have a sister and a brother | - | Беседа Знакомства |
| Брат в десятом классе, а сестра в восьмом | ძმა სწავლობს მეათე კლასში, და კი მერვეში | dzma sts'avlobs meate k'lasshi, da k'i merveshi | My brother is in the tenth grade, and my sister is in the eighth | - | Беседа Знакомства |
| Откуда этот человек? | საიდან არის ეს კაცი? | saidan aris es k'atsi? | Where is this man from? | - | Беседа Знакомства |
| Этот человек из Тбилиси. | ეს კაცი თბილისიდან არის. | es k'atsi tbilisidan aris. | This man is from Tbilisi. | - | Беседа Знакомства |
| Ты откуда? | საიდან ხარ? | saidan khar? | Where are you from? | - | Беседа Знакомства |
| Я из Иркутска. | მე ირკუტსკიდან ვარ. | me irk'ut'sk'idan var. | I am from Irkutsk. | - | Беседа Знакомства |
| Чей этот фильм? | ვისია ეს ფილმი? | visia es pilmi? | Whose film is this? | - | Беседа Знакомства |
| Этот фильм индийский. | ეს ინდური ფილმია. | es induri pilmia. | This film is Indian. | - | Беседа Знакомства |
| Откуда эти туристы? | საიდან არიან ეს ტურისტები? | saidan arian es t'urist'ebi? | Where are these tourists from? | - | Беседа Туризм |
| Точно не знаю, кажется, из Румыни. | ზუსტად არ ვიცი, რუმინეთიდან არის. | zust'ad ar vitsi, ruminetidan aris. | I don't know exactly, I think they are from Romania. | - | Беседа Туризм |
| И автобус Румынский? | და რუმინული ავტობუსი? | da ruminuli avt'obusi? | And is the bus Romanian? | - | Беседа Туризм |
| Автобус наш. | ავტობუსი ჩვენია. | avt'obusi chvenia. | Our bus. | - | Беседа Туризм |
| И водитель местный. | და მძღოლი ადგილობრივია. | da mdzgholi adgilobrivia. | And the driver is local. | - | Беседа Туризм |
| Не опаздываем ли мы? | გვაგვიანდება? | gvagviandeba? | Are we late? | - | Беседа Работа |
| Как будто опаздываем. | თითქოს გვიან ვართ. | titkos gvian vart. | As if we are. | - | Беседа Работа |
| Уже два часа, а автобуса ещё нет. | უკვე ორი საათია და ავტობუსი ჯერ არ მოვიდა. | uk've ori saatia da avt'obusi jer ar movida. | It's already two o'clock, and the bus hasn't arrived yet. | - | Беседа Работа |
| Не бойтесь, не опоздаем. | ნუ გეშინია, არ დაგვიგვიანდება. | nu geshinia, ar dagvigviandeba. | Don't worry, we won't be late. | - | Беседа Работа |
| Водитель знает свое время, и дорога очень хорошая. | მძღოლმა იცის დრო და გზა ძალიან კარგია. | mdzgholma itsis dro da gza dzalian k'argia. | The driver knows his time, and the road is very good. | - | Беседа Работа |
| Вот и автобус приехал. | აი, ავტობუსი მოვიდა. | ai, avt'obusi movida. | Here comes the bus. | - | Беседа Работа |
| Сегодня суббота | დღეს შაბათია | dghes shabatia | Today is Saturday | - | Беседа Знакомства |
| Сегодня и завтра отдыхаем | დღეს და ხვალ ვისვენებთ | dghes da khval visvenebt | We are resting today and tomorrow | - | Беседа Знакомства |
| Сегодня хорошая погода | დღეს კარგი ამინდია | dghes k'argi amindia | The weather is good today | - | Беседа Знакомства |
| Если завтра тоже будет хорошая погода, то рано утром пойдем на экскурсию в лес, который находится недалеко от города | თუ ხვალაც კარგი ამინდი იქნება, დილით ადრე გავივლით ტყეში, რომელიც ქალაქის ახლოსაა | tu khvalats k'argi amindi ikneba, dilit adre gavivlit t'q'eshi, romelits kalakis akhlosaa | If tomorrow is also good, then early in the morning we will go on an excursion to the forest, which is located near the city | - | Беседа Знакомства |
| Лес осенью очень красив | შემოდგომა ძალიან ლამაზია | shemodgoma dzalian lamazia | The forest is very beautiful in autumn | - | Беседа Знакомства |
| От города до леса десять километров | ქალაქიდან ტყემდე 10 კილომეტრია | kalakidan t'q'emde 10 k'ilomet'ria | It is ten kilometers from the city to the forest | - | Беседа Знакомства |
| Приход гостей нас очень обрадовал | ძალიან გაგვიხარდა სტუმრების მიღება | dzalian gagvikharda st’umrebis migheba | We were very happy to have guests | - | Беседа Знакомства |
| Когда научился ты говорить так хорошо? | როდის ისწავლე ასე კარგად ლაპარაკი? | rodis ists’avle ase k’argad lap’arak’i? | When did you learn to speak so well? | - | Беседа Знакомства |
| Скорая помощь пришла быстро | სასწრაფო სწრაფად მოვიდა | sasts’rapo sts’rapad movida | The ambulance arrived quickly | - | Беседа Работа |
| Я направился в сторону сада | ბაღისკენ წავედი | baghisk'en ts'avedi | I headed towards the garden | - | Беседа Туризм |
| Завтра утром я рано встаю | ხვალ დილით ადრე ვდგები | khval dilit adre vdgebi | I'm getting up early tomorrow morning | - | Беседа Туризм |
| Долго вы были за границей? | რამდენი ხანი იყავი საზღვარგარეთ? | ramdeni khani iq’avi sazghvargaret? | How long were you abroad? | - | Беседа Туризм |
| За границей я работал 2 года | 2 წელი ვმუშაობდი საზღვარგარეთ | 2 ts’eli vmushaobdi sazghvargaret | I worked abroad for 2 years | - | Беседа Туризм |
| Скоро придете? | მალე მოხვალ? | male mokhval? | Will you come soon? | - | Беседа Семья |
| Приду сейчас же, через 5 минут | ახლავე მოვალ, 5 წუთში | akhlave moval, 5 ts’utshi | I'll come right now, in 5 minutes | - | Беседа Семья |
| вчера я получил письмо | გუშინ წერილი მივიღე | gushin ts’erili mivighe | I received a letter yesterday | - | Беседа Работа |
| Когда приеду, тогда и пошлю письмо | როცა მივალ, წერილს გავგზავნი | rotsa mival, ts’erils gavgzavni | When I arrive, I’ll send the letter | - | Беседа Работа |
| Я знал, что скоро придет письмо | ვიცოდი, რომ მალე წერილი მოვიდოდა | vitsodi, rom male ts’erili movidoda | I knew that a letter would arrive soon | - | Беседа Работа |
| Знаю, но не могу сказать | ვიცი, მაგრამ ვერ ვიტყვი | vitsi, magram ver vit’q’vi | I know, but I can’t say | - | Беседа Работа |
| Скоро приедет мама | დედა მალე მოვა | deda male mova | Mom will come soon | - | Беседа Семья |
| Сейчас я иду говорить по телефону | ახლა ტელეფონზე ვაპირებ საუბარს | akhla t’eleponze vap’ireb saubars | Now I'm going to talk on the phone | - | Беседа Работа |
| Мы поедем отдыхать на море | ზღვაზე მივდივართ დასასვენებლად | zghvaze mivdivart dasasveneblad | We're going to rest at the sea | - | Беседа Туризм |
| Мы все навестили больного | ყველამ მოვინახულეთ ავადმყოფი | q’velam movinakhulet avadmq’opi | We all visited the sick person | - | Беседа Работа |
| Из-за неотложного дела я срочно вернулся домой | სასწრაფო საქმის გამო, სასწრაფოდ დავბრუნდი სახლში | sasts’rapo sakmis gamo, sasts’rapod davbrundi sakhlshi | Due to urgent business, I urgently returned home | - | Беседа Работа |
| Это с ним случилось из-за необдуманности | ეს მას იმიტომ დაემართა, რომ უაზროდ იქცეოდა | es mas imit’om daemarta, rom uazrod iktseoda | This happened to him because he was thoughtless | - | Беседа Работа |
| Самолет не вылетал, так как испортилась погода | თვითმფრინავი არ აფრინდა, რადგან ამინდი გაუარესდა | tvitmprinavi ar aprinda, radgan amindi gauaresda | The plane didn't take off because the weather got bad | - | Беседа Туризм |
| Приехать смогу только тогда, когда возьму отпуск | მხოლოდ მაშინ შემიძლია მოსვლა, როცა შვებულებას ავიღებ | mkholod mashin shemidzlia mosvla, rotsa shvebulebas avigheb | I can come only when I take a vacation | - | Беседа Работа |
| Если вам нравится мое предложение, то сообщите срочно | თუ ჩემი წინადადება მოგეწონებათ, მაშინვე შემატყობინეთ | tu chemi ts’inadadeba mogets’onebat, mashinve shemat’q’obinet | If you like my proposal, then let me know immediately | - | Беседа Работа |
| Сделаем так, как для вас будет удобнее | ისე გავაკეთებთ, როგორც თქვენთვის ყველაზე მოსახერხებელი იქნება | ise gavak’etebt, rogorts tkventvis q’velaze mosakherkhebeli ikneba | We'll do it the way that's most convenient for you | - | Беседа Работа |
| Когда скажешь, тогда и приду. | როცა მეტყვი, მაშინ მოვალ. | rotsa met’q’vi, mashin moval. | I’ll come when you say so. | - | Беседа Работа |
| Где родители живут, сам тоже там | სადაც ჩემი მშობლები ცხოვრობენ, მეც იქ ვარ | sadats chemi mshoblebi tskhovroben, mets ik var | Where my parents live, I’m there too | - | Беседа Семья |
| Приду, если будет время | თუ დრო მექნება, მოვალ | tu dro mekneba, moval | I’ll come if I have time | - | Беседа Семья |
| Я не пришел, потому что не имел времени | არ მოვსულვარ, რადგან დრო არ მქონდა | ar movsulvar, radgan dro ar mkonda | I didn’t come because I didn’t have time | - | Беседа Работа |
